id,user_id,event,created_month,amount
1297533716,11161124,start,2021-02-01,$12.99
128201768,11161124,end,2021-06-30,$12.99
104304759,11161124,start,2021-08-01,$0.99
646450737,11161124,end,2021-12-31,$0.99
1872225155,11161124,start,2022-03-01,$12.99
1245338739,11161124,end,2022-05-31,$12.99
140103621,11162303,start,2021-03-01,$0.99
458431112,11162303,end,2021-04-30,$0.99
1077327584,11162303,start,2021-06-01,$12.99
2020025694,11162303,end,2021-08-31,$12.99
2016847002,11162303,start,2021-10-01,$0.99
1294339264,11162303,end,2021-11-30,$0.99
229126312,11162303,start,2022-01-01,$7.99
669065340,11162303,end,2022-03-31,$7.99
480248535,11162562,start,2021-03-01,$0.99
177452318,11162562,end,2021-04-30,$0.99
1099255493,11162562,start,2021-06-01,$12.99
1041081580,11162562,end,2021-11-30,$12.99
1493262732,11162562,start,2022-02-01,$0.99
549507503,11162562,end,2022-06-30,$0.99
1786857049,11162633,start,2021-03-01,$7.99
883860042,11162633,end,2021-04-30,$7.99
1083946074,11162633,start,2021-06-01,$0.99
758530117,11162633,end,2021-09-30,$0.99
883268150,11162633,start,2021-11-01,$12.99
1442883814,11162633,end,2022-01-31,$12.99
101909808,11163298,start,2021-01-01,$0.99
1672880927,11163298,end,2021-02-28,$0.99
667395128,11163298,start,2021-06-01,$12.99
92589865,11163298,end,2021-08-31,$12.99
261775611,11163298,start,2021-10-01,$0.99
1924622088,11163298,end,2022-01-31,$0.99
1728910841,11163298,start,2022-04-01,$12.99
956227976,11163298,end,2022-06-30,$12.99
404487483,11163796,start,2021-01-01,$0.99
1727705146,11163796,end,2021-02-28,$0.99
792197396,11163796,start,2021-07-01,$12.99
2053945423,11163796,end,2021-08-31,$12.99
1979683886,11163796,start,2021-10-01,$12.99
1970375370,11163796,end,2021-11-30,$12.99
410070996,11164591,start,2021-01-01,$0.99
985925579,11164591,end,2021-06-30,$0.99
317125122,11164591,start,2021-08-01,$0.99
1685978645,11164591,end,2021-09-30,$0.99
1691681694,11164591,start,2021-11-01,$0.99
515846404,11164591,end,2022-01-31,$0.99
1898073981,11164784,start,2021-01-01,$0.99
1562231626,11164784,end,2021-04-30,$0.99
1558712311,11164784,start,2021-06-01,$7.99
1006050353,11164784,end,2021-08-31,$7.99
